survey_id,customer_id,product_id,survey_date,overall_satisfaction,product_rating,service_rating,comments,improvement_area
S-10000,C-20014,P-1001,2025-02-22,5,2,1,"Service was smooth, though delivery updates were confusing.",The product packaging design could be more environmentally friendly.
S-10001,C-20017,P-1004,2025-12-04,5,2,5,"Service was smooth, though delivery updates were confusing.",After-sales support could be more responsive and consistent.
S-10002,C-2008,P-1000,2026-01-02,2,3,5,Pretty good overall; minor flaws but nothing serious.,More proactive communication is needed when delays occur.
S-10003,C-20016,P-1004,2025-08-26,4,3,4,Great product and good value.,Product images should better reflect the actual item received.
S-10004,C-2008,P-1000,2025-05-09,4,1,4,Neutral experience; works fine.,More payment options should be added for international customers.
S-10005,C-20023,P-1004,2025-10-23,2,4,3,Product in the web and the product at hand does not match.,Warranty information should be easier to find and understand.
S-10006,C-2007,P-1003,2025-09-02,3,2,4,Exceeded my expectations in every way.,The mobile app could be optimized to load faster on older devices.
S-10007,C-2002,P-1001,2025-06-01,5,1,4,The item arrived sooner than expected - a pleasant surprise.,The loyalty rewards program could offer more meaningful benefits.
S-10008,C-2001,P-1003,2025-11-18,4,3,2,Pretty good overall; minor flaws but nothing serious.,After-sales support could be more responsive and consistent.
S-10009,C-2006,P-1001,2025-03-19,4,2,1,Great product and good value.,Email notifications should be better timed and less repetitive.
S-10010,C-20010,P-1004,2025-06-05,4,1,3,Excellent customer support; solved my issue quickly.,Customer support should follow up after resolving reported issues.
S-10011,C-20010,P-1000,2025-04-08,2,5,5,Average experience overall.,Customer service representatives need better product training.
S-10012,C-20019,P-1003,2025-06-06,2,5,5,"Performs as advertised, no major complaints.",Product descriptions on the website should include more detailed specifications.
S-10013,C-2002,P-1000,2025-09-29,5,2,2,Very satisfied with the purchase.,The mobile app could be optimized to load faster on older devices.
S-10014,C-20016,P-1002,2026-01-16,3,5,5,Okay with the purchase; would think twice before buying again.,Product quality checks should be improved before shipping.
S-10015,C-20011,P-1002,2025-05-22,2,5,1,Could be better; packaging was weak.,Packaging should be strengthened to better protect fragile electronic items.
S-10016,C-20021,P-1003,2025-12-10,5,3,1,Average experience overall.,Warranty information should be easier to find and understand.
S-10017,C-20022,P-1000,2025-10-01,1,1,3,Neutral experience; works fine.,The mobile app could be optimized to load faster on older devices.
S-10018,C-20021,P-1003,2026-01-22,5,4,1,Poor quality and the color is different than shown.,The onboarding experience for new users could be improved.
S-10019,C-2003,P-1001,2025-03-19,2,2,1,"Service was smooth, though delivery updates were confusing.",The product packaging design could be more environmentally friendly.
S-10020,C-20013,P-1000,2025-09-22,1,3,3,"Performs as advertised, no major complaints.",The loyalty rewards program could offer more meaningful benefits.
S-10021,C-2005,P-1001,2025-12-24,2,1,4,Average experience overall.,Product quality checks should be improved before shipping.
S-10022,C-20013,P-1004,2025-10-26,3,4,3,Very satisfied with the purchase.,Live chat support availability should be extended beyond business hours.
S-10023,C-20022,P-1002,2025-07-14,4,3,4,"Service was smooth, though delivery updates were confusing.",Customer service needs more human agents during peak hours.
S-10024,C-20015,P-1004,2025-08-28,4,5,5,Product in the web and the product at hand does not match.,Live chat support availability should be extended beyond business hours.
S-10025,C-20015,P-1001,2025-09-21,1,4,5,Neutral experience; works fine.,The loyalty rewards program could offer more meaningful benefits.
S-10026,C-2009,P-1003,2025-06-11,3,4,4,"Not bad, but I expected more for the price.",Customer feedback should be acknowledged more promptly.
S-10027,C-2002,P-1000,2025-02-13,2,4,4,"Service was smooth, though delivery updates were confusing.",Email notifications should be better timed and less repetitive.
S-10028,C-20022,P-1000,2025-03-26,1,3,5,"So far, I am okay with the service. Could do more to get better.Quality is decent, but shipping took too long.",Packaging should be strengthened to better protect fragile electronic items.
S-10029,C-20020,P-1001,2025-02-28,1,1,2,Very satisfied with the purchase.,The online chatbot can be improved further to provide more accurate responses.
S-10030,C-20011,P-1001,2025-03-07,2,4,5,Very satisfied with the purchase.,The website search functionality should return more relevant results.
S-10031,C-20018,P-1002,2025-08-11,4,3,2,Pretty good overall; minor flaws but nothing serious.,Return and refund processes should be made simpler and faster.
S-10032,C-20022,P-1003,2025-04-17,3,1,5,Product in the web and the product at hand does not match.,Customer support should follow up after resolving reported issues.
S-10033,C-2005,P-1001,2025-10-03,3,5,2,Average experience overall.,The onboarding experience for new users could be improved.
S-10034,C-20011,P-1001,2025-09-01,4,1,4,There is always a hidden fee.,Live chat support availability should be extended beyond business hours.
S-10035,C-2003,P-1004,2025-07-01,1,1,1,There is always a hidden fee.,Customer service needs more human agents during peak hours.
